"언어","종류","게시판","idx","제목","카테고리","날짜","본문길이","이미지수","첨부수"
"en","news","news_en","21","[Korean News Article] News coverage of the 5th International Nursing Forum held in the Kyrgyz Republic","Korean","2024-05-09","1538","6","0"
"en","news","news_en","22","International Nurses Day 2024","Notice","2024-05-13","2018","6","0"
"en","news","news_en","23","BK-LUPIC 2024 Faculty Development Program: Data Management & Data Analysis","Notice","2024-06-05","328","1","0"
"en","news","news_en","24","WHO European region Collaborating Centers & country office and KSMA, BK-LUPIC","Notice","2024-07-17","138","5","0"
"en","news","news_en","25","International conference on the development of nursing science with the participation of experts from WHO collaborating centers","Notice","2024-07-17","132","4","0"
"en","news","news_en","26","Advancing Progressive Nursing Education through BK-LUPIC (BK-LUPIC Year 1 and 2 Achievement Report)","Notice","2024-07-24","4","0","1"
"en","news","news_en","27","Kyrgyz State Medical Academy Awards Kyung Hee University on its 85th Anniversary","Korean","2024-09-11","2397","3","0"
"en","news","news_en","28","2025 Korea Invitational Training Program (2025.02.10. - 2025.02.14.)","Notice","2025-02-24","264","0","1"
"en","news","news_en","29","Poster Session: CALL FOR ABSTRACT NOTIFICATION","Notice","2025-03-25","3000","4","0"
"en","news","news_en","3","[Notice] Naming the Child Health Promotion Center","Notice","2023-02-09","193","0","0"
"en","news","news_en","30","6th International Nursing Forum","Notice","2025-04-09","1533","1","1"
"en","news","news_en","31","Poster Session: CALL FOR ABSTRACT! (Submission date EXTENDED!)","Notice","2025-04-10","595","1","0"
"en","news","news_en","32","BK-LUPIC May 2025 Faculty Development Workshop: Innovative and Strategic Advancement of Nursing Education in the Kyrgyz Republic","Notice","2025-05-26","1156","11","0"
"en","news","news_en","33","BK-LUPIC Introduction","Notice","2025-09-17","4","0","0"
"en","news","news_en","37","Call for Abstract: 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","Notice","2026-02-21","1107","1","0"
"en","news","news_en","38","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","Notice","2026-03-04","309","1","0"
"en","news","news_en","39","[Abstract Submission Deadline — Extended!] 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","Notice","2026-03-20","506","1","0"
"en","news","news_en","4","[Notice] Inviting a new program as 'Chick Playschool' in a child health promotion center","Notice","2023-02-09","159","1","0"
"en","news","news_en","40","[Program] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY & WHO CENTRAL ASIA COORDINATION COUNCIL OF CHIEF STATE SPECIALISTS","Notice","2026-04-09","4","1","0"
"en","news","news_en","41","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","Notice","2026-04-21","405","1","0"
"en","news","news_en","5","[Notice] Open an exhibition for the child health promotion project","Notice","2023-02-09","215","1","0"
"en","news","news_en","6","[Notice] Happy Nurses year! Happy Nurses week!","Notice","2023-02-09","283","0","0"
"en","news","news_en","7","[Notice] International Nurses Day","Notice","2023-02-09","338","1","0"
"en","news","news_en","8","[Notice] 2022 Nursing education forum and 2022 Educational session","Notice","2023-02-09","4","3","0"
"en","news","news_en","9","[Notice] Survey on the status and importance of nursing competencies in KR","Notice","2023-02-09","768","2","0"
"ky","news","news_kg","11","[Кулактандыруу] Международная конференция 2019: Здоровье детей и сестринское образование [2]","Кулактандыруу","2023-02-09","5","1","0"
"ky","news","news_kg","12","[Кулактандыруу] Ак-Ордо & Ак-Өргө жаңы конушундагы ата-энелердин арасында макала жазуу сынагы","Кулактандыруу","2023-02-09","5","1","0"
"ky","news","news_kg","13","[Кулактандыруу] Ден соолук сынагын утурлай фотосурөт жана текст сынагы","Кулактандыруу","2023-02-09","5","1","0"
"ky","news","news_kg","14","[Кулактандыруу] Ден соолук жумалыгы","Кулактандыруу","2023-02-09","95","1","0"
"ky","news","news_kg","15","[Кулактандыруу] СпасибоМедсестрам","Кулактандыруу","2023-02-09","224","0","0"
"ky","news","news_kg","16","[Кулактандыруу] Кыргыз Республикасында мээрмандык(медайымдардын) билим беруу саясатын жакшыртуу боюнча изилдөөнун сурамжылоосуна катышууга чакырабыз","Кулактандыруу","2023-02-09","683","1","0"
"ky","news","news_kg","17","BK – LUPIC долбоорунан баарыңыздарга салам!","Кореянын басмалары","2023-02-09","466","3","0"
"ky","news","news_kg","18","[Кулактандыруу] Бүгүн биз бардык медайымдарды кесиптик майрамы","Кулактандыруу","2023-02-09","380","1","0"
