"원본경로","새경로","처리","EXIF","원본","결과","원본KB","결과KB"
"/uploaded/summernote/202302/132afc3d031b3355a12aaa11d7ec6ad0.png","/images/uploaded/summernote/202302/132afc3d031b3355a12aaa11d7ec6ad0.jpg","PNG→JPG","1","1280x720","1280x720","492","138"
"/uploaded/summernote/202302/138d1d2fdee88cb3890e5204d16e8749.jpg","/images/uploaded/summernote/202302/138d1d2fdee88cb3890e5204d16e8749.jpg","JPG 재압축","1","600x450","600x450","72","77"
"/uploaded/summernote/202302/13ba1dfaa74426449db0a22911678863.jpg","/images/uploaded/summernote/202302/13ba1dfaa74426449db0a22911678863.jpg","JPG 재압축","1","960x576","960x576","54","67"
"/uploaded/summernote/202302/13c35ecf949d2cc7c21e81acbf9c3d9a.jpg","/images/uploaded/summernote/202302/13c35ecf949d2cc7c21e81acbf9c3d9a.jpg","JPG 재압축","1","600x368","600x368","37","39"
"/uploaded/summernote/202302/13cf9774271f87e7563dfff1b25ba94a.jpg","/images/uploaded/summernote/202302/13cf9774271f87e7563dfff1b25ba94a.jpg","JPG 재압축","1","600x600","600x600","74","77"
"/uploaded/summernote/202302/140ae787349ff989318efe8ee94f6298.jpg","/images/uploaded/summernote/202302/140ae787349ff989318efe8ee94f6298.jpg","JPG 재압축","1","600x450","600x450","41","43"
"/uploaded/summernote/202302/14aeeafbf9bc4cbd202058acfac5586a.jpg","/images/uploaded/summernote/202302/14aeeafbf9bc4cbd202058acfac5586a.jpg","JPG 재압축","1","581x1032","581x1032","53","72"
"/uploaded/summernote/202302/14b58f1e60fcc677da7d2019e7bc7172.jpg","/images/uploaded/summernote/202302/14b58f1e60fcc677da7d2019e7bc7172.jpg","JPG 재압축","1","960x540","960x540","56","69"
"/uploaded/summernote/202302/156639622c78ba9019ea1d4e6eeb72ad.jpg","/images/uploaded/summernote/202302/156639622c78ba9019ea1d4e6eeb72ad.jpg","JPG 재압축","1","2016x1134","1400x788","363","173"
"/uploaded/summernote/202302/15fa04a667ebffe18761dd0298bcc18f.jpg","/images/uploaded/summernote/202302/15fa04a667ebffe18761dd0298bcc18f.jpg","JPG 재압축","1","2016x1134","1400x788","474","230"
"/uploaded/summernote/202302/163509566fbe064ca4941acc3f677ebf.jpg","/images/uploaded/summernote/202302/163509566fbe064ca4941acc3f677ebf.jpg","JPG 재압축","1","960x720","960x720","51","64"
"/uploaded/summernote/202302/165da18770d0616088a20e927f8298a0.jpg","/images/uploaded/summernote/202302/165da18770d0616088a20e927f8298a0.jpg","JPG 재압축","1","719x960","719x960","46","58"
"/uploaded/summernote/202302/1664a101b3ed54631d7ac0c58ba8a21d.jpg","/images/uploaded/summernote/202302/1664a101b3ed54631d7ac0c58ba8a21d.jpg","JPG 재압축","1","1102x866","1102x866","151","119"
"/uploaded/summernote/202302/166e0f6111675d9c29cfd825e97e78de.jpg","/images/uploaded/summernote/202302/166e0f6111675d9c29cfd825e97e78de.jpg","JPG 재압축","1","960x717","960x717","48","60"
"/uploaded/summernote/202302/1676d4d61a82462e766fdb4f461f79d7.png","/images/uploaded/summernote/202302/1676d4d61a82462e766fdb4f461f79d7.jpg","PNG→JPG","1","1280x720","1280x720","1436","145"
"/uploaded/summernote/202302/17624b9b48137936661a8a22a94cafeb.jpg","/images/uploaded/summernote/202302/17624b9b48137936661a8a22a94cafeb.jpg","JPG 재압축","1","2048x1365","1400x933","245","176"
"/uploaded/summernote/202302/180c83c34c615f85a8d78924c5ce468a.jpg","/images/uploaded/summernote/202302/180c83c34c615f85a8d78924c5ce468a.jpg","JPG 재압축","1","1334x1334","1334x1334","136","186"
"/uploaded/summernote/202302/181d123928012dc90c5a2371e83b7370.jpg","/images/uploaded/summernote/202302/181d123928012dc90c5a2371e83b7370.jpg","JPG 재압축","1","960x720","960x720","70","88"
"/uploaded/summernote/202302/184553c67cd75130eaabea3f382b906a.png","/images/uploaded/summernote/202302/184553c67cd75130eaabea3f382b906a.jpg","PNG→JPG","1","1414x2000","990x1400","406","170"
"/uploaded/summernote/202302/18494fe78657d6312f4cbf78504107c3.jpg","/images/uploaded/summernote/202302/18494fe78657d6312f4cbf78504107c3.jpg","JPG 재압축","1","960x717","960x717","65","82"
"/uploaded/summernote/202302/187206e792959c283c649c7548278c5f.png","/images/uploaded/summernote/202302/187206e792959c283c649c7548278c5f.jpg","PNG→JPG","1","1080x1080","1080x1080","151","115"
"/uploaded/summernote/202302/188abecb7cd99582f4e07328f2e5f626.jpg","/images/uploaded/summernote/202302/188abecb7cd99582f4e07328f2e5f626.jpg","JPG 재압축","1","720x540","720x540","66","69"
"/uploaded/summernote/202302/189d7a7735f038e3235ccf0f7578b202.jpg","/images/uploaded/summernote/202302/189d7a7735f038e3235ccf0f7578b202.jpg","JPG 재압축","1","1334x1334","1334x1334","91","128"
"/uploaded/summernote/202302/18a35735187e3b0e36a8f0bde568d1df.jpg","/images/uploaded/summernote/202302/18a35735187e3b0e36a8f0bde568d1df.jpg","JPG 재압축","1","945x945","945x945","133","143"
"/uploaded/summernote/202302/18f58a8d886be23599d1db31fcdce26b.jpg","/images/uploaded/summernote/202302/18f58a8d886be23599d1db31fcdce26b.jpg","JPG 재압축","1","1094x759","1094x759","164","156"
"/uploaded/summernote/202302/1936eaae8059f67a6d992ed52ee63551.jpg","/images/uploaded/summernote/202302/1936eaae8059f67a6d992ed52ee63551.jpg","JPG 재압축","1","960x720","960x720","79","102"
"/uploaded/summernote/202302/1951383acd87ba2b4c8690c693a18720.jpg","/images/uploaded/summernote/202302/1951383acd87ba2b4c8690c693a18720.jpg","JPG 재압축","1","450x600","450x600","32","33"
"/uploaded/summernote/202302/19e5ae55bc888838cfef0a1cb9ad5faa.png","/images/uploaded/summernote/202302/19e5ae55bc888838cfef0a1cb9ad5faa.jpg","PNG→JPG","1","1280x720","1280x720","438","144"
"/uploaded/summernote/202302/1a03b9de9107f90976ce73c067013c76.jpg","/images/uploaded/summernote/202302/1a03b9de9107f90976ce73c067013c76.jpg","JPG 재압축","1","350x583","350x583","29","30"
"/uploaded/summernote/202302/1a6e7682e6f203827dae85355d02a6c0.jpg","/images/uploaded/summernote/202302/1a6e7682e6f203827dae85355d02a6c0.jpg","JPG 재압축","1","960x720","960x720","72","87"
"/uploaded/summernote/202302/1b2882ba4b39dddc810408dbf942781c.jpg","/images/uploaded/summernote/202302/1b2882ba4b39dddc810408dbf942781c.jpg","JPG 재압축","1","2048x2048","1400x1400","382","276"
"/uploaded/summernote/202302/1b37ebe607cc78d83bd66c166a93afbe.jpg","/images/uploaded/summernote/202302/1b37ebe607cc78d83bd66c166a93afbe.jpg","JPG 재압축","1","2048x1365","1400x933","229","173"
"/uploaded/summernote/202302/1b3ad7750752eaa89e5804b706030692.jpg","/images/uploaded/summernote/202302/1b3ad7750752eaa89e5804b706030692.jpg","JPG 재압축","1","1536x2048","1050x1400","250","171"
"/uploaded/summernote/202302/1ba59ac595b22ec93769a6ab6e8c9478.jpg","/images/uploaded/summernote/202302/1ba59ac595b22ec93769a6ab6e8c9478.jpg","JPG 재압축","1","1334x1334","1334x1334","146","199"
"/uploaded/summernote/202302/1bfe3a141d97f15b5811c924201fbfbe.jpg","/images/uploaded/summernote/202302/1bfe3a141d97f15b5811c924201fbfbe.jpg","JPG 재압축","1","1536x2048","1050x1400","296","184"
"/uploaded/summernote/202302/1c09c0f9512ef8e8d6e347f7a9929a15.jpg","/images/uploaded/summernote/202302/1c09c0f9512ef8e8d6e347f7a9929a15.jpg","JPG 재압축","1","944x944","944x944","173","138"
"/uploaded/summernote/202302/1c294023114ca65cf8300160875ff9e4.jpg","/images/uploaded/summernote/202302/1c294023114ca65cf8300160875ff9e4.jpg","JPG 재압축","1","581x1032","581x1032","43","53"
"/uploaded/summernote/202302/1c54093630eef71c68ff952b35a0cd62.jpg","/images/uploaded/summernote/202302/1c54093630eef71c68ff952b35a0cd62.jpg","JPG 재압축","1","960x720","960x720","66","87"
